Actual,Predicted
0.009000004015241857,0.0092998
0.09999999999999999,0.097922646
0.06000016060967432,0.06078464
0.19999999999999998,0.19858888
0.006000016060967432,0.005965549
0.7000012045725575,0.6822486
0.7000012045725575,0.69078094
0.09999999999999999,0.10635354
0.09000004015241858,0.09403797
0.3,0.29659668
0.3,0.29819077
0.02,0.019481795
0.39999999999999997,0.39319903
0.07000012045725573,0.07017832
0.6000016060967432,0.6112398
0.06000016060967432,0.0591795
0.3,0.30026644
0.3,0.28489062
0.003999999999999999,0.0038070297
0.3,0.32099
0.04999979923790709,0.049310938
0.030000000000000002,0.030342668
0.3,0.30000088
0.6000016060967432,0.59066904
0.7000012045725575,0.69359255
0.009000004015241857,0.009537446
0.00500002007620929,0.005327471
0.04,0.042406056
0.01,0.009077853
0.007000012045725574,0.0073418585
0.19999999999999998,0.20022355
0.04,0.043760587
0.9000004015241858,0.90304345
0.007000012045725574,0.0067317705
0.007000012045725574,0.0069670714
0.0007000012045725574,0.0005208103
0.009000004015241857,0.0090304455
0.006000016060967432,0.0057634027
0.09999999999999999,0.09613292
0.3,0.2953859
0.09999999999999999,0.09998583
0.0009999999999999998,0.0005589498
0.3,0.2904584
0.007000012045725574,0.0068405555
0.08000008030483716,0.07995285
0.06000016060967432,0.061425883
0.5000020076209291,0.49177662
0.08000008030483716,0.080065325
0.008000008030483716,0.007971734
0.08000008030483716,0.08009883
0.8000008030483716,0.7849204
1.0,0.96050376
0.06000016060967432,0.05856962
0.04,0.039160293
0.08000008030483716,0.08142063
0.5000020076209291,0.4974794
0.0029999999999999996,0.0030760043
0.07000012045725573,0.06618397
0.0019999999999999996,0.0013905079
0.0029999999999999996,0.0027940394
0.6000016060967432,0.57731074
0.5000020076209291,0.52189445
0.007000012045725574,0.00708778
0.3,0.2937388
1.0,0.9578716
0.3,0.30821514
0.07000012045725573,0.06592931
0.19999999999999998,0.20045578
0.8000008030483716,0.7846652
0.9000004015241858,0.8916482
0.5000020076209291,0.4969542
1.0,0.98224145
0.00500002007620929,0.005976427
0.0006000016060967432,0.0010301109
0.9000004015241858,0.9517854
0.003999999999999999,0.004209909
0.06000016060967432,0.06289681
0.003999999999999999,0.0034184454
1.0,0.987848
0.8000008030483716,0.8149385
0.5000020076209291,0.5013578
0.009000004015241857,0.0088066375
0.007000012045725574,0.0070177075
0.008000008030483716,0.0081242565
0.0008000008030483715,0.0007373996
0.003999999999999999,0.004132572
0.008000008030483716,0.008257816
0.6000016060967432,0.59386927
0.5000020076209291,0.49271953
0.08000008030483716,0.084128246
0.006000016060967432,0.0048940345
0.09000004015241858,0.08516422
0.5000020076209291,0.4924418
0.8000008030483716,0.8169962
0.5000020076209291,0.49372008
0.6000016060967432,0.5835481
0.3,0.29472
0.030000000000000002,0.0327781
0.08000008030483716,0.08168151
0.39999999999999997,0.3926461
0.07000012045725573,0.06800627
0.09999999999999999,0.104256235
0.0019999999999999996,0.0026820463
0.8000008030483716,0.76891047
0.02,0.019048674
0.08000008030483716,0.08469066
0.7000012045725575,0.7250156
0.5000020076209291,0.49024186
0.02,0.019767728
0.0029999999999999996,0.0026245834
0.009000004015241857,0.008573289
0.09000004015241858,0.09395398
0.5000020076209291,0.50213385
0.00500002007620929,0.0048330617
0.19999999999999998,0.20137273
0.19999999999999998,0.20324038
0.19999999999999998,0.19972661
0.9000004015241858,0.9574425
0.39999999999999997,0.40657783
0.19999999999999998,0.20324038
0.19999999999999998,0.19813012
0.5000020076209291,0.5022738
0.7000012045725575,0.69681174
0.02,0.019683115
0.7000012045725575,0.6916352
0.7000012045725575,0.6974498
0.09999999999999999,0.09790307
1.0,0.9983689
0.8000008030483716,0.8037
1.0,0.90431684
0.009000004015241857,0.0094126
0.009000004015241857,0.008760727
0.003999999999999999,0.0036750464
1.0,0.9769649
0.030000000000000002,0.030632695
0.0029999999999999996,0.0027711946
0.3,0.29937056
0.09999999999999999,0.10096785
0.3,0.2876064
0.5000020076209291,0.49159658
0.02,0.019770531
0.04,0.040633757
0.3,0.29756302
0.02,0.018897273
0.5000020076209291,0.49567243
0.19999999999999998,0.19848529
0.7000012045725575,0.7177435
0.09999999999999999,0.103804894
0.09999999999999999,0.1001899
0.07000012045725573,0.07343633
0.00500002007620929,0.0048068906
0.04,0.040547453
0.9000004015241858,0.9374456
0.09000004015241858,0.093939334
0.39999999999999997,0.39976144
0.9000004015241858,0.95822686
0.6000016060967432,0.6033897
0.5000020076209291,0.48920396
0.19999999999999998,0.19915211
0.09999999999999999,0.1020634
0.09999999999999999,0.10021194
0.09999999999999999,0.101249255
0.7000012045725575,0.6953678
0.39999999999999997,0.39156875
1.0,0.963422
0.3,0.3000728
0.08000008030483716,0.08319533
0.7000012045725575,0.67558134
0.09999999999999999,0.097224504
0.09000004015241858,0.091246516
0.02,0.019705465
0.8000008030483716,0.8132284
0.04999979923790709,0.048594885
0.00500002007620929,0.0048320103
0.5000020076209291,0.4966844
0.9000004015241858,0.9614667
0.008000008030483716,0.008014006
0.07000012045725573,0.06863071
0.09999999999999999,0.09948208
0.7000012045725575,0.6775318
0.9000004015241858,0.87547207
0.0029999999999999996,0.0030401289
1.0,0.98733467
0.030000000000000002,0.02975763
0.9000004015241858,0.88056177
0.5000020076209291,0.49552104
0.7000012045725575,0.691841
0.19999999999999998,0.25887203
0.19999999999999998,0.1992175
0.003999999999999999,0.0038629982
0.6000016060967432,0.61669505
0.5000020076209291,0.49769297
0.007000012045725574,0.0074818395
0.19999999999999998,0.198724
0.030000000000000002,0.03230775
0.7000012045725575,0.6974498
0.009000004015241857,0.008576056
0.009000004015241857,0.0093342215
0.8000008030483716,0.7895918
0.04,0.04091277
0.19999999999999998,0.18394502
0.00500002007620929,0.0058509726
0.08000008030483716,0.08477182
0.030000000000000002,0.032007318
0.030000000000000002,0.031295784
0.3,0.29887983
0.3,0.28864142
0.02,0.019161383
0.7000012045725575,0.6916352
0.006000016060967432,0.0058969646
