Actual,Predicted
0.15,0.15669613
0.5,0.5016477
0.03,0.031432535
0.7000000000000001,0.69940335
0.06,0.06300533
0.19999999999999998,0.19636032
0.15,0.15028897
0.049999999999999996,0.054895118
0.06,0.059563562
0.08,0.08171227
0.7000000000000001,0.68754244
0.06,0.057845138
0.7000000000000001,0.6790669
0.08,0.08011332
0.08,0.081512384
0.09999999999999999,0.101188555
0.06999999999999999,0.070367135
0.3,0.29323977
0.09,0.08991022
0.5,0.5003332
0.03,0.030794168
0.04,0.040667836
0.7000000000000001,0.7176047
0.19999999999999998,0.20025288
0.7000000000000001,0.7040804
0.15,0.15437481
0.02,0.019915033
0.06999999999999999,0.06797606
0.06,0.058992743
0.06999999999999999,0.066740885
0.08,0.08214055
0.12,0.116965175
0.15,0.15512063
0.12,0.11996567
0.13999999999999999,0.1356162
0.01,0.009892831
0.03,0.030473303
0.13,0.12663539
0.19,0.19315358
0.16999999999999998,0.17339641
0.12,0.11685647
0.02,0.020224994
0.09,0.09271493
0.03,0.029684098
0.06999999999999999,0.07125023
0.13,0.12945463
0.12,0.12114121
0.16999999999999998,0.17370898
0.08,0.07983414
0.16999999999999998,0.17290215
0.06,0.061608344
1.0,0.98843986
0.19999999999999998,0.19820045
0.18,0.1799249
0.09999999999999999,0.10673565
0.6,0.59727776
0.01,0.009900935
0.7000000000000001,0.6549928
0.08,0.07895852
0.04,0.03959752
0.7999999999999999,0.7813725
0.39999999999999997,0.3955103
0.04,0.040903114
0.09,0.092227265
0.7999999999999999,0.7669217
0.5,0.5052432
0.15,0.1513428
0.049999999999999996,0.052326903
0.13999999999999999,0.14014879
0.09999999999999999,0.09914354
0.13999999999999999,0.13732123
0.16999999999999998,0.17052743
0.12,0.11405852
0.02,0.021259576
0.16,0.15739673
0.08,0.08013759
0.02,0.020449087
0.06,0.056648493
0.13999999999999999,0.14119495
0.16999999999999998,0.16834262
0.6,0.5935705
0.13,0.1287838
0.03,0.030577382
0.03,0.029169448
0.02,0.02097563
0.11,0.11253633
0.049999999999999996,0.04990256
0.13,0.12970524
0.12,0.12070749
0.5,0.49835706
0.12,0.12958069
0.13,0.13290513
0.16,0.15930998
0.18,0.17899393
0.16999999999999998,0.17177175
0.18,0.18170589
0.12,0.12135689
0.12,0.117406294
0.16,0.16538438
0.7000000000000001,0.6735942
0.16,0.16348639
0.15,0.15120912
0.01,0.009899685
0.12,0.12258611
0.04,0.042511716
0.15,0.15373774
0.5,0.49878713
0.09999999999999999,0.10052861
0.12,0.12027878
0.06,0.060241714
0.08,0.08180784
0.06,0.059697255
0.6,0.595851
0.13999999999999999,0.13107556
0.7000000000000001,0.69670236
0.6,0.58682996
0.3,0.3036455
0.7000000000000001,0.71046734
0.6,0.5935427
0.6,0.58682996
0.7999999999999999,0.7770987
0.7000000000000001,0.69191736
0.19999999999999998,0.19643043
0.16999999999999998,0.17626537
0.11,0.11026986
0.16999999999999998,0.168077
0.08,0.082414225
0.5,0.49786684
0.13,0.12687714
0.16,0.16137657
0.15,0.15535362
0.06,0.0598787
0.04,0.03985537
0.16999999999999998,0.17274627
0.09999999999999999,0.09512666
0.06,0.06006688
0.09,0.0908938
0.16999999999999998,0.17486799
0.13,0.1297321
0.16,0.16024953
0.12,0.12055599
0.06,0.05992934
1.0,0.99610174
0.04,0.041940346
0.6,0.587776
0.19999999999999998,0.20260482
0.18,0.18357584
0.08,0.08210023
0.19999999999999998,0.19900687
0.06999999999999999,0.06995148
0.09999999999999999,0.10086208
0.15,0.15101974
0.3,0.31910077
0.3,0.30580878
0.18,0.1797722
0.16,0.15663332
0.15,0.15161674
0.16,0.16076224
0.18,0.18650514
0.04,0.042389445
0.16999999999999998,0.1745782
0.16,0.1649019
0.19,0.19259636
0.11,0.11006308
0.7000000000000001,0.70645237
0.11,0.11219821
0.16999999999999998,0.16998757
0.16999999999999998,0.16956694
0.15,0.15513107
0.19,0.1916645
0.08,0.081890926
0.16,0.161732
0.09999999999999999,0.09912509
0.06999999999999999,0.07170522
0.16999999999999998,0.16921505
0.7999999999999999,0.795035
0.09,0.08770988
0.13999999999999999,0.1410721
