Parameter,Mean Percent Difference,Standard Deviation of Percent Difference,R-Squared,Mean Squared Error
m22,6.368543149782667,10.537830348822585,0.9939742276057466,0.0005332509564402853
k,2.5205001842933563,3.3349992361757823,0.9970480149297215,0.0001427202161021375
